zone	cell	feature
469	07	river
469	09	road
469	17	river
469	18	river
469	28	river
469	29	river
469	30	road
469	31	road
469	38	river
469	41	road
469	42	road
469	43	road
469	44	road
469	48	river
469	49	river
469	54	road
469	55	road
469	56	road
469	57	road
469	68	road
469	69	road
468	00	road
468	02	road
468	03	road
468	20	river
468	21	river
468	22	river
468	32	river
468	33	river
468	34	river
468	40	river
468	41	river
468	42	river
468	44	river
468	45	river
468	55	river
468	60	road
468	61	road
468	62	road
468	63	road
468	64	road
468	65	river
468	72	road
468	74	road
468	75	river
468	76	road
468	82	road
468	85	river
468	86	road
468	87	road
468	91	road
468	92	road
468	95	river
468	97	road
468	98	road
509	39	road
509	40	river
509	41	river
509	49	road
509	51	river
509	52	river
509	58	road
509	59	road
509	62	river
509	63	river
509	67	road
509	68	road
509	73	river
509	74	river
509	76	road
509	77	road
509	84	river
509	85	road
509	86	road
509	93	road
509	94	river
509	95	road
508	01	road
508	05	river
508	08	road
508	11	road
508	15	river
508	18	road
508	19	road
508	20	road
508	21	road
508	25	river
508	29	road
508	30	road
508	35	river
508	39	road
508	45	river
508	49	road
508	54	river
508	55	river
508	59	road
508	64	river
508	69	road
508	73	river
508	74	river
508	79	road
508	83	river
508	89	road
508	92	river
508	93	river
508	99	road
540	59	road
540	68	road
540	69	road
540	77	road
540	78	road
540	87	road
540	97	road
539	02	road
539	03	road
539	04	river
539	05	river
539	12	road
539	15	river
539	21	road
539	22	road
539	25	river
539	26	river
539	29	river
539	31	road
539	36	river
539	38	river
539	39	river
539	40	road
539	41	road
539	46	river
539	47	river
539	48	river
539	50	road
539	56	river
539	66	river
539	76	river
539	86	river
539	96	river
538	01	river
538	02	river
538	09	road
538	10	river
538	11	river
538	19	road
538	20	river
538	29	road
537	04	river
537	14	river
537	18	river
537	19	river
537	20	road
537	24	river
537	25	river
537	27	river
537	28	river
537	30	road
537	31	road
537	35	river
537	36	river
537	37	river
537	38	road
537	39	road
537	41	road
537	42	road
537	45	river
537	47	road
537	48	road
537	52	road
537	53	road
537	54	river
537	55	river
537	63	road
537	64	river
537	73	river
537	74	river
537	83	river
537	86	road
537	93	river
537	95	road
537	96	road
570	06	road
570	07	road
570	16	road
570	25	road
570	26	road
570	35	road
570	45	road
570	54	road
570	55	road
570	64	road
570	73	road
570	74	road
570	83	road
570	93	road
569	06	river
569	16	river
569	25	river
569	26	river
569	35	river
569	45	river
569	55	river
569	65	river
569	66	river
569	76	river
569	86	river
569	96	river
567	03	river
567	05	road
567	13	river
567	15	road
567	22	river
567	23	river
567	25	road
567	32	river
567	34	road
567	35	road
567	42	river
567	44	road
567	51	river
567	52	river
567	54	road
567	61	river
567	63	road
567	64	road
567	71	river
567	73	road
567	80	river
567	81	river
567	83	road
567	90	river
567	93	road
610	03	road
610	13	road
610	23	road
610	33	road
610	42	road
610	43	road
610	51	road
610	52	road
610	62	road
610	72	road
610	82	road
610	92	road
609	06	river
609	16	river
609	26	river
609	27	river
609	37	river
609	47	river
609	57	river
609	58	river
609	68	river
609	78	river
609	79	river
609	89	river
609	99	river
608	29	river
608	39	river
608	48	river
608	49	river
608	58	river
608	67	river
608	68	river
608	76	river
608	77	river
608	79	road
608	85	river
608	86	river
608	88	road
608	89	road
608	90	river
608	95	river
608	97	road
608	98	road
607	00	river
607	02	road
607	03	road
607	10	river
607	12	road
607	20	river
607	22	road
607	32	road
607	41	road
607	42	road
607	51	road
607	60	road
607	61	road
607	70	road
640	02	road
640	12	road
640	22	road
640	40	road
640	44	road
640	45	road
640	46	road
640	56	road
640	57	road
640	62	road
640	67	road
640	68	road
640	69	road
640	72	road
640	73	road
640	83	road
640	93	road
639	60	road
639	61	road
639	62	road
639	63	road
639	64	road
639	65	road
639	66	road
639	67	road
639	68	road
639	69	road
638	00	river
638	05	river
638	07	road
638	10	river
638	11	river
638	15	river
638	17	road
638	21	river
638	24	river
638	25	river
638	26	road
638	27	road
638	31	river
638	32	river
638	34	river
638	36	road
638	42	river
638	43	river
638	44	river
638	45	road
638	46	road
638	53	river
638	55	road
638	60	road
638	61	road
638	63	river
638	64	road
638	65	road
638	73	river
638	83	river
638	93	river
