zone_id	zx	zy	rx	ry	sector	feature	avg_rgb_hex
925	0	0	0	0	PLAINS	NONE	#76261f
925	0	0	1	0	PLAINS	NONE	#762720
925	0	0	2	0	PLAINS	NONE	#762720
925	0	0	3	0	PLAINS	NONE	#762720
925	0	0	4	0	PLAINS	NONE	#762720
925	0	0	5	0	PLAINS	NONE	#762822
925	0	0	6	0	PLAINS	NONE	#742722
925	0	0	7	0	PLAINS	NONE	#732722
925	0	0	8	0	PLAINS	NONE	#752823
925	0	0	9	0	PLAINS	NONE	#742722
925	0	0	0	1	PLAINS	NONE	#74251d
925	0	0	1	1	PLAINS	NONE	#76271f
925	0	0	2	1	PLAINS	NONE	#74261e
925	0	0	3	1	PLAINS	NONE	#73251e
925	0	0	4	1	PLAINS	NONE	#73251f
925	0	0	5	1	PLAINS	NONE	#772721
925	0	0	6	1	PLAINS	NONE	#762620
925	0	0	7	1	PLAINS	NONE	#73231f
925	0	0	8	1	PLAINS	NONE	#772420
925	0	0	9	1	PLAINS	NONE	#752621
925	0	0	0	2	PLAINS	NONE	#71241f
925	0	0	1	2	PLAINS	NONE	#742621
925	0	0	2	2	PLAINS	NONE	#72261e
925	0	0	3	2	PLAINS	NONE	#742a21
925	0	0	4	2	PLAINS	NONE	#732a24
925	0	0	5	2	PLAINS	NONE	#752a24
925	0	0	6	2	PLAINS	NONE	#772c24
925	0	0	7	2	PLAINS	NONE	#732921
925	0	0	8	2	PLAINS	NONE	#782b24
925	0	0	9	2	PLAINS	NONE	#732822
925	0	0	0	3	PLAINS	NONE	#722421
925	0	0	1	3	PLAINS	NONE	#72231f
925	0	0	2	3	PLAINS	NONE	#7f3d3b
925	0	0	3	3	WATER	RIVER	#998c98
925	0	0	4	3	WATER	RIVER	#80788d
925	0	0	5	3	WATER	RIVER	#83778a
925	0	0	6	3	PLAINS	ROAD	#857785
925	0	0	7	3	PLAINS	ROAD	#807280
925	0	0	8	3	PLAINS	ROAD	#837381
925	0	0	9	3	WATER	RIVER	#7f7281
925	0	0	0	4	PLAINS	NONE	#712321
925	0	0	1	4	PLAINS	NONE	#712222
925	0	0	2	4	PLAINS	NONE	#85433e
925	0	0	3	4	WATER	RIVER	#6e6a82
925	0	0	4	4	WATER	RIVER	#424365
925	0	0	5	4	WATER	RIVER	#424368
925	0	0	6	4	WATER	RIVER	#3f4160
925	0	0	7	4	WATER	RIVER	#444262
925	0	0	8	4	WATER	RIVER	#484463
925	0	0	9	4	WATER	RIVER	#484562
925	0	0	0	5	PLAINS	NONE	#70221f
925	0	0	1	5	PLAINS	NONE	#71231f
925	0	0	2	5	PLAINS	NONE	#82403a
925	0	0	3	5	WATER	RIVER	#6b6681
925	0	0	4	5	WATER	RIVER	#3f3f62
925	0	0	5	5	WATER	RIVER	#3e3f66
925	0	0	6	5	WATER	RIVER	#3f4268
925	0	0	7	5	WATER	RIVER	#3f4265
925	0	0	8	5	WATER	RIVER	#464569
925	0	0	9	5	WATER	RIVER	#464464
925	0	0	0	6	PLAINS	NONE	#70231e
925	0	0	1	6	PLAINS	NONE	#722420
925	0	0	2	6	PLAINS	NONE	#84433d
925	0	0	3	6	WATER	RIVER	#666480
925	0	0	4	6	WATER	RIVER	#3d3e64
925	0	0	5	6	WATER	RIVER	#403f65
925	0	0	6	6	WATER	RIVER	#4a486d
925	0	0	7	6	WATER	RIVER	#474466
925	0	0	8	6	WATER	RIVER	#4a4765
925	0	0	9	6	WATER	RIVER	#514c6c
925	0	0	0	7	PLAINS	NONE	#722420
925	0	0	1	7	PLAINS	NONE	#722420
925	0	0	2	7	PLAINS	NONE	#84423d
925	0	0	3	7	WATER	RIVER	#666380
925	0	0	4	7	WATER	RIVER	#3f4167
925	0	0	5	7	WATER	RIVER	#414268
925	0	0	6	7	WATER	RIVER	#4e4d70
925	0	0	7	7	WATER	RIVER	#4e4b6e
925	0	0	8	7	WATER	RIVER	#53506f
925	0	0	9	7	WATER	RIVER	#5f5b7b
925	0	0	0	8	PLAINS	NONE	#71231f
925	0	0	1	8	PLAINS	NONE	#742521
925	0	0	2	8	PLAINS	NONE	#83423c
925	0	0	3	8	WATER	RIVER	#656480
925	0	0	4	8	WATER	RIVER	#45496f
925	0	0	5	8	WATER	RIVER	#4e5176
925	0	0	6	8	WATER	RIVER	#4a496e
925	0	0	7	8	WATER	RIVER	#4a4668
925	0	0	8	8	WATER	RIVER	#4c4767
925	0	0	9	8	WATER	RIVER	#4b4868
925	0	0	0	9	PLAINS	NONE	#722422
925	0	0	1	9	PLAINS	NONE	#712221
925	0	0	2	9	PLAINS	NONE	#83413d
925	0	0	3	9	WATER	RIVER	#676681
925	0	0	4	9	WATER	RIVER	#474b6e
925	0	0	5	9	WATER	RIVER	#51527e
925	0	0	6	9	WATER	RIVER	#4c4e76
925	0	0	7	9	WATER	RIVER	#494b6e
925	0	0	8	9	WATER	RIVER	#433e60
925	0	0	9	9	WATER	RIVER	#44405f
924	1	0	0	0	PLAINS	NONE	#742923
924	1	0	1	0	PLAINS	NONE	#742922
924	1	0	2	0	PLAINS	NONE	#732721
924	1	0	3	0	PLAINS	NONE	#742823
924	1	0	4	0	PLAINS	NONE	#762925
924	1	0	5	0	PLAINS	NONE	#772926
924	1	0	6	0	PLAINS	NONE	#762723
924	1	0	7	0	PLAINS	NONE	#762a26
924	1	0	8	0	PLAINS	NONE	#732924
924	1	0	9	0	PLAINS	NONE	#722922
924	1	0	0	1	PLAINS	NONE	#742720
924	1	0	1	1	PLAINS	NONE	#752720
924	1	0	2	1	PLAINS	NONE	#752720
924	1	0	3	1	PLAINS	NONE	#75261f
924	1	0	4	1	PLAINS	NONE	#772720
924	1	0	5	1	PLAINS	NONE	#772723
924	1	0	6	1	PLAINS	NONE	#762723
924	1	0	7	1	PLAINS	NONE	#752721
924	1	0	8	1	PLAINS	NONE	#732620
924	1	0	9	1	PLAINS	NONE	#732423
924	1	0	0	2	PLAINS	NONE	#742a23
924	1	0	1	2	PLAINS	NONE	#742b24
924	1	0	2	2	PLAINS	NONE	#772d25
924	1	0	3	2	PLAINS	NONE	#762b24
924	1	0	4	2	PLAINS	NONE	#742a22
924	1	0	5	2	PLAINS	NONE	#752b25
924	1	0	6	2	PLAINS	NONE	#752b23
924	1	0	7	2	PLAINS	NONE	#752b24
924	1	0	8	2	PLAINS	NONE	#752c23
924	1	0	9	2	PLAINS	NONE	#742b23
924	1	0	0	3	WATER	RIVER	#7f7386
924	1	0	1	3	WATER	RIVER	#7c7488
924	1	0	2	3	WATER	RIVER	#7a7489
924	1	0	3	3	WATER	RIVER	#7a748a
924	1	0	4	3	WATER	RIVER	#7d778c
924	1	0	5	3	WATER	RIVER	#7d768b
924	1	0	6	3	WATER	RIVER	#80798f
924	1	0	7	3	WATER	RIVER	#888095
924	1	0	8	3	WATER	RIVER	#7f768b
924	1	0	9	3	WATER	RIVER	#83798b
924	1	0	0	4	WATER	RIVER	#444260
924	1	0	1	4	WATER	RIVER	#3e3e5f
924	1	0	2	4	WATER	RIVER	#3d3e5f
924	1	0	3	4	WATER	RIVER	#424366
924	1	0	4	4	WATER	RIVER	#444668
924	1	0	5	4	WATER	RIVER	#454467
924	1	0	6	4	WATER	RIVER	#474768
924	1	0	7	4	WATER	RIVER	#4a4a6e
924	1	0	8	4	WATER	RIVER	#48486c
924	1	0	9	4	WATER	RIVER	#494b6c
924	1	0	0	5	WATER	RIVER	#464463
924	1	0	1	5	WATER	RIVER	#454460
924	1	0	2	5	WATER	RIVER	#474664
924	1	0	3	5	WATER	RIVER	#5d5876
924	1	0	4	5	WATER	RIVER	#6d6887
924	1	0	5	5	WATER	RIVER	#6b647e
924	1	0	6	5	WATER	RIVER	#554d69
924	1	0	7	5	WATER	RIVER	#4e4d70
924	1	0	8	5	WATER	RIVER	#4c4b6f
924	1	0	9	5	WATER	RIVER	#4e4e71
924	1	0	0	6	WATER	RIVER	#5b5675
924	1	0	1	6	PLAINS	NONE	#605c76
924	1	0	2	6	PLAINS	NONE	#534d6a
924	1	0	3	6	WATER	RIVER	#575271
924	1	0	4	6	WATER	RIVER	#5b5575
924	1	0	5	6	WATER	RIVER	#746d8a
924	1	0	6	6	WATER	RIVER	#5a5470
924	1	0	7	6	WATER	RIVER	#404362
924	1	0	8	6	WATER	RIVER	#464769
924	1	0	9	6	WATER	RIVER	#454368
924	1	0	0	7	WATER	RIVER	#575473
924	1	0	1	7	WATER	RIVER	#595771
924	1	0	2	7	WATER	RIVER	#4d4b67
924	1	0	3	7	WATER	RIVER	#4e4d6e
924	1	0	4	7	WATER	RIVER	#555577
924	1	0	5	7	WATER	RIVER	#4c4e70
924	1	0	6	7	WATER	RIVER	#48496c
924	1	0	7	7	WATER	RIVER	#3c4060
924	1	0	8	7	WATER	RIVER	#383c5c
924	1	0	9	7	WATER	RIVER	#383a5b
924	1	0	0	8	WATER	RIVER	#494a68
924	1	0	1	8	WATER	RIVER	#3e4058
924	1	0	2	8	WATER	RIVER	#545572
924	1	0	3	8	WATER	RIVER	#585a80
924	1	0	4	8	WATER	RIVER	#4d5277
924	1	0	5	8	WATER	RIVER	#515276
924	1	0	6	8	WATER	RIVER	#48486c
924	1	0	7	8	WATER	RIVER	#3c4063
924	1	0	8	8	WATER	RIVER	#33375a
924	1	0	9	8	WATER	RIVER	#2d3252
924	1	0	0	9	WATER	RIVER	#484664
924	1	0	1	9	WATER	RIVER	#3a3c54
924	1	0	2	9	WATER	RIVER	#474866
924	1	0	3	9	WATER	RIVER	#505477
924	1	0	4	9	WATER	RIVER	#54577a
924	1	0	5	9	WATER	RIVER	#505376
924	1	0	6	9	WATER	RIVER	#4d5074
924	1	0	7	9	WATER	RIVER	#464b6f
924	1	0	8	9	WATER	RIVER	#373b61
924	1	0	9	9	WATER	RIVER	#313658
923	2	0	0	0	PLAINS	NONE	#732a23
923	2	0	1	0	PLAINS	NONE	#762726
923	2	0	2	0	PLAINS	NONE	#772724
923	2	0	3	0	PLAINS	NONE	#752925
923	2	0	4	0	PLAINS	NONE	#762a25
923	2	0	5	0	PLAINS	NONE	#762c26
923	2	0	6	0	PLAINS	NONE	#782b26
923	2	0	7	0	PLAINS	NONE	#762824
923	2	0	8	0	PLAINS	NONE	#772724
923	2	0	9	0	PLAINS	NONE	#772824
923	2	0	0	1	PLAINS	NONE	#742423
923	2	0	1	1	PLAINS	NONE	#752524
923	2	0	2	1	PLAINS	NONE	#762623
923	2	0	3	1	PLAINS	NONE	#762823
923	2	0	4	1	PLAINS	NONE	#752621
923	2	0	5	1	PLAINS	NONE	#772522
923	2	0	6	1	PLAINS	NONE	#792823
923	2	0	7	1	PLAINS	NONE	#782723
923	2	0	8	1	PLAINS	NONE	#752623
923	2	0	9	1	PLAINS	NONE	#752724
923	2	0	0	2	PLAINS	NONE	#732a22
923	2	0	1	2	PLAINS	NONE	#752a23
923	2	0	2	2	PLAINS	NONE	#752b24
923	2	0	3	2	PLAINS	NONE	#762e25
923	2	0	4	2	PLAINS	NONE	#732b24
923	2	0	5	2	PLAINS	NONE	#772c27
923	2	0	6	2	PLAINS	NONE	#762b26
923	2	0	7	2	PLAINS	NONE	#772d25
923	2	0	8	2	PLAINS	NONE	#792e26
923	2	0	9	2	PLAINS	NONE	#792e26
923	2	0	0	3	WATER	RIVER	#7b6f80
923	2	0	1	3	PLAINS	ROAD	#766b79
923	2	0	2	3	PLAINS	ROAD	#786c7a
923	2	0	3	3	WATER	RIVER	#807583
923	2	0	4	3	WATER	RIVER	#786e81
923	2	0	5	3	WATER	RIVER	#787288
923	2	0	6	3	WATER	RIVER	#736e83
923	2	0	7	3	WATER	RIVER	#6e6c7e
923	2	0	8	3	WATER	RIVER	#716e81
923	2	0	9	3	WATER	RIVER	#706b80
923	2	0	0	4	WATER	RIVER	#45435d
923	2	0	1	4	PLAINS	NONE	#39354c
923	2	0	2	4	PLAINS	NONE	#3d3951
923	2	0	3	4	WATER	RIVER	#38354e
923	2	0	4	4	WATER	RIVER	#383656
923	2	0	5	4	WATER	RIVER	#393d60
923	2	0	6	4	WATER	RIVER	#313858
923	2	0	7	4	WATER	RIVER	#272c4b
923	2	0	8	4	WATER	RIVER	#2b3354
923	2	0	9	4	WATER	RIVER	#2e3758
923	2	0	0	5	WATER	RIVER	#41405a
923	2	0	1	5	PLAINS	NONE	#3a374d
923	2	0	2	5	PLAINS	NONE	#353246
923	2	0	3	5	PLAINS	NONE	#353348
923	2	0	4	5	WATER	RIVER	#353554
923	2	0	5	5	WATER	RIVER	#353b5c
923	2	0	6	5	WATER	RIVER	#333b5a
923	2	0	7	5	WATER	RIVER	#2a3250
923	2	0	8	5	WATER	RIVER	#293354
923	2	0	9	5	WATER	RIVER	#2d375a
923	2	0	0	6	WATER	RIVER	#3d3b59
923	2	0	1	6	PLAINS	NONE	#3d3952
923	2	0	2	6	PLAINS	NONE	#3b374f
923	2	0	3	6	WATER	RIVER	#363550
923	2	0	4	6	WATER	RIVER	#303658
923	2	0	5	6	WATER	RIVER	#323a5e
923	2	0	6	6	WATER	RIVER	#313a5e
923	2	0	7	6	WATER	RIVER	#303c5f
923	2	0	8	6	WATER	RIVER	#2b375b
923	2	0	9	6	WATER	RIVER	#2d3b60
923	2	0	0	7	WATER	RIVER	#353755
923	2	0	1	7	WATER	RIVER	#3b395a
923	2	0	2	7	WATER	RIVER	#3d3d5d
923	2	0	3	7	WATER	RIVER	#323758
923	2	0	4	7	WATER	RIVER	#343b60
923	2	0	5	7	WATER	RIVER	#343c60
923	2	0	6	7	WATER	RIVER	#30395c
923	2	0	7	7	WATER	RIVER	#30395e
923	2	0	8	7	WATER	RIVER	#2f3a60
923	2	0	9	7	WATER	RIVER	#2f3d62
923	2	0	0	8	WATER	RIVER	#2c324e
923	2	0	1	8	WATER	RIVER	#2f3253
923	2	0	2	8	WATER	RIVER	#343959
923	2	0	3	8	WATER	RIVER	#393f5f
923	2	0	4	8	WATER	RIVER	#3c4166
923	2	0	5	8	WATER	RIVER	#383d62
923	2	0	6	8	WATER	RIVER	#32385a
923	2	0	7	8	WATER	RIVER	#2f3558
923	2	0	8	8	WATER	RIVER	#354064
923	2	0	9	8	WATER	RIVER	#354368
923	2	0	0	9	WATER	RIVER	#2a3048
923	2	0	1	9	WATER	RIVER	#2c2f48
923	2	0	2	9	WATER	RIVER	#303450
923	2	0	3	9	WATER	RIVER	#363b5a
923	2	0	4	9	WATER	RIVER	#414568
923	2	0	5	9	WATER	RIVER	#3e4067
923	2	0	6	9	WATER	RIVER	#373d60
923	2	0	7	9	WATER	RIVER	#333a5d
923	2	0	8	9	WATER	RIVER	#3b4267
923	2	0	9	9	WATER	RIVER	#40496f
922	3	0	0	0	PLAINS	NONE	#762824
922	3	0	1	0	PLAINS	NONE	#772925
